Student_ID,Interests,Strengths,Skills,Marks,Personality,Goals,Budget,Suggested_Career,Recommended_Course,Scholarship_Option
26,Science,Analysis,Statistics,59,Ambivert,Higher studies,High,Mechanical Engineer,Python Basics,STEM Scholarship
27,Business,Communication,Python,80,Ambivert,Start a business,Medium,Doctor,Business Management,National Merit Scholarship
28,Science,Leadership,Drawing,92,Introvert,Develop new skills,High,Teacher,Biology 101,STEM Scholarship
29,Medicine,Analysis,Public Speaking,55,Introvert,Start a business,Low,Data Analyst,Math Foundations,Need-based Aid
30,Design,Leadership,Biology,97,Extrovert,Develop new skills,Medium,Software Engineer,Biology 101,National Merit Scholarship
31,Arts,Creativity,Public Speaking,63,Introvert,Higher studies,Medium,Mechanical Engineer,Biology 101,STEM Scholarship
32,Business,Leadership,Java,76,Introvert,Higher studies,High,Teacher,Math Foundations,Need-based Aid
33,Sports,Creativity,Java,92,Introvert,Higher studies,Medium,Data Analyst,Math Foundations,STEM Scholarship
34,Maths,Logical Thinking,Drawing,74,Ambivert,Start a business,Medium,Entrepreneur,Business Management,Need-based Aid
35,Business,Logical Thinking,Physics,96,Extrovert,Develop new skills,Medium,Data Analyst,Graphic Design,National Merit Scholarship
36,Sports,Problem Solving,Statistics,58,Extrovert,Get a good job,Low,Entrepreneur,Business Management,Arts Talent Scholarship
37,Business,Communication,Java,67,Introvert,Develop new skills,High,Designer,Graphic Design,Need-based Aid
38,Science,Problem Solving,Python,78,Extrovert,Higher studies,Low,Designer,Math Foundations,National Merit Scholarship
39,Design,Logical Thinking,Statistics,52,Ambivert,Start a business,High,Entrepreneur,Biology 101,Need-based Aid
40,Medicine,Communication,Marketing,75,Ambivert,Start a business,Medium,Mechanical Engineer,Math Foundations,National Merit Scholarship
41,Sports,Leadership,Python,100,Ambivert,Get a good job,High,Designer,Graphic Design,Need-based Aid
42,Arts,Problem Solving,Physics,96,Ambivert,Higher studies,Medium,Designer,Graphic Design,STEM Scholarship
43,Design,Logical Thinking,Public Speaking,67,Introvert,Get a good job,Low,Mechanical Engineer,Business Management,STEM Scholarship
44,Maths,Problem Solving,Python,80,Introvert,Get a good job,Low,Mechanical Engineer,Python Basics,Need-based Aid
45,Sports,Leadership,Marketing,56,Extrovert,Get a good job,Low,Software Engineer,Business Management,Arts Talent Scholarship
46,Medicine,Creativity,Statistics,75,Extrovert,Get a good job,Medium,Designer,Python Basics,Arts Talent Scholarship
47,Sports,Communication,Biology,99,Extrovert,Get a good job,High,Data Analyst,Business Management,Need-based Aid
48,Maths,Logical Thinking,Statistics,63,Extrovert,Start a business,Medium,Mechanical Engineer,Graphic Design,STEM Scholarship
49,Design,Logical Thinking,Physics,63,Extrovert,Start a business,Medium,Data Analyst,Biology 101,National Merit Scholarship
50,Medicine,Creativity,Biology,51,Introvert,Develop new skills,Medium,Doctor,Data Science Intro,National Merit Scholarship
51,Maths,Problem Solving,Physics,98,Ambivert,Start a business,High,Software Engineer,Graphic Design,STEM Scholarship
52,Business,Analysis,Statistics,55,Extrovert,Higher studies,Medium,Teacher,Graphic Design,Arts Talent Scholarship
53,Medicine,Analysis,Java,76,Introvert,Higher studies,Medium,Designer,Business Management,Need-based Aid
54,Arts,Logical Thinking,Marketing,59,Introvert,Get a good job,Low,Software Engineer,Business Management,Arts Talent Scholarship
55,Design,Leadership,Python,50,Extrovert,Get a good job,Medium,Data Analyst,Data Science Intro,STEM Scholarship
56,Sports,Analysis,Physics,54,Ambivert,Develop new skills,Low,Software Engineer,Biology 101,National Merit Scholarship
57,Arts,Leadership,Statistics,59,Extrovert,Higher studies,Low,Software Engineer,Python Basics,STEM Scholarship
58,Design,Analysis,Public Speaking,52,Ambivert,Get a good job,High,Mechanical Engineer,Data Science Intro,National Merit Scholarship
59,Design,Analysis,Python,83,Introvert,Higher studies,High,Designer,Biology 101,Arts Talent Scholarship
60,Business,Leadership,Public Speaking,97,Extrovert,Get a good job,High,Software Engineer,Graphic Design,STEM Scholarship
61,Science,Analysis,Biology,57,Introvert,Develop new skills,High,Data Analyst,Python Basics,STEM Scholarship
62,Science,Creativity,Java,86,Introvert,Higher studies,Medium,Designer,Business Management,Arts Talent Scholarship
63,Arts,Analysis,Drawing,57,Ambivert,Higher studies,Low,Entrepreneur,Python Basics,STEM Scholarship
64,Science,Analysis,Biology,60,Introvert,Get a good job,Low,Software Engineer,Business Management,STEM Scholarship
65,Business,Communication,Drawing,99,Extrovert,Start a business,High,Teacher,Data Science Intro,Need-based Aid
66,Arts,Analysis,Marketing,75,Ambivert,Higher studies,Medium,Teacher,Math Foundations,Need-based Aid
67,Sports,Problem Solving,Marketing,73,Extrovert,Develop new skills,Low,Teacher,Math Foundations,Arts Talent Scholarship
68,Science,Problem Solving,Biology,83,Introvert,Get a good job,Medium,Doctor,Math Foundations,Arts Talent Scholarship
69,Science,Creativity,Statistics,62,Ambivert,Higher studies,High,Teacher,Biology 101,STEM Scholarship
70,Arts,Logical Thinking,Python,58,Ambivert,Develop new skills,High,Entrepreneur,Data Science Intro,Need-based Aid
71,Sports,Logical Thinking,Python,79,Ambivert,Start a business,Low,Doctor,Python Basics,Arts Talent Scholarship
72,Arts,Leadership,Java,55,Introvert,Higher studies,Low,Entrepreneur,Math Foundations,Need-based Aid
73,Arts,Communication,Marketing,52,Introvert,Develop new skills,High,Designer,Graphic Design,STEM Scholarship
74,Maths,Creativity,Marketing,84,Extrovert,Develop new skills,Medium,Data Analyst,Python Basics,Arts Talent Scholarship
75,Business,Logical Thinking,Python,52,Ambivert,Start a business,High,Data Analyst,Business Management,Need-based Aid
76,Science,Analysis,Biology,67,Extrovert,Get a good job,Medium,Doctor,Graphic Design,National Merit Scholarship
77,Technology,Leadership,Java,74,Extrovert,Develop new skills,High,Software Engineer,Business Management,STEM Scholarship
78,Science,Analysis,Java,85,Ambivert,Higher studies,Low,Entrepreneur,Data Science Intro,Arts Talent Scholarship
79,Sports,Problem Solving,Python,57,Ambivert,Get a good job,Medium,Data Analyst,Python Basics,National Merit Scholarship
80,Medicine,Problem Solving,Statistics,83,Introvert,Develop new skills,Medium,Designer,Data Science Intro,Arts Talent Scholarship
81,Technology,Creativity,Java,68,Extrovert,Start a business,Medium,Mechanical Engineer,Data Science Intro,Need-based Aid
82,Maths,Problem Solving,Public Speaking,58,Extrovert,Develop new skills,Low,Mechanical Engineer,Data Science Intro,STEM Scholarship
83,Business,Communication,Marketing,78,Ambivert,Start a business,Low,Teacher,Math Foundations,Arts Talent Scholarship
84,Medicine,Analysis,Biology,89,Extrovert,Higher studies,Medium,Software Engineer,Math Foundations,Need-based Aid
85,Science,Communication,Public Speaking,56,Ambivert,Higher studies,Low,Mechanical Engineer,Biology 101,Arts Talent Scholarship
86,Design,Communication,Statistics,84,Ambivert,Get a good job,High,Designer,Python Basics,National Merit Scholarship
87,Sports,Logical Thinking,Python,72,Ambivert,Get a good job,Low,Mechanical Engineer,Python Basics,Arts Talent Scholarship
88,Technology,Leadership,Drawing,65,Extrovert,Higher studies,Medium,Teacher,Math Foundations,National Merit Scholarship
89,Design,Logical Thinking,Biology,81,Ambivert,Develop new skills,High,Entrepreneur,Business Management,STEM Scholarship
90,Maths,Leadership,Marketing,50,Introvert,Higher studies,Medium,Designer,Data Science Intro,Need-based Aid
91,Technology,Communication,Java,71,Ambivert,Higher studies,Medium,Mechanical Engineer,Business Management,STEM Scholarship
92,Maths,Communication,Python,76,Introvert,Higher studies,High,Doctor,Python Basics,Need-based Aid
93,Science,Analysis,Statistics,81,Ambivert,Develop new skills,Low,Designer,Python Basics,STEM Scholarship
94,Arts,Problem Solving,Drawing,72,Ambivert,Get a good job,High,Mechanical Engineer,Graphic Design,Arts Talent Scholarship
95,Technology,Creativity,Drawing,87,Extrovert,Higher studies,Low,Software Engineer,Biology 101,Arts Talent Scholarship
96,Business,Creativity,Java,79,Introvert,Develop new skills,Low,Doctor,Graphic Design,Need-based Aid
97,Design,Analysis,Java,78,Introvert,Get a good job,High,Software Engineer,Graphic Design,Arts Talent Scholarship
98,Medicine,Communication,Java,61,Introvert,Start a business,Low,Designer,Python Basics,Need-based Aid
99,Science,Creativity,Drawing,98,Ambivert,Develop new skills,Low,Data Analyst,Math Foundations,National Merit Scholarship
100,Design,Creativity,Python,81,Introvert,Start a business,High,Mechanical Engineer,Math Foundations,Arts Talent Scholarship
101,Sports,Creativity,Java,83,Extrovert,Develop new skills,Low,Teacher,Data Science Intro,Need-based Aid
102,Science,Analysis,Python,76,Ambivert,Higher studies,Medium,Data Analyst,Data Science Intro,Arts Talent Scholarship
103,Arts,Creativity,Biology,87,Ambivert,Get a good job,High,Mechanical Engineer,Biology 101,National Merit Scholarship
104,Design,Logical Thinking,Python,81,Extrovert,Start a business,Low,Mechanical Engineer,Graphic Design,Need-based Aid
105,Business,Problem Solving,Biology,51,Introvert,Start a business,Medium,Data Analyst,Biology 101,National Merit Scholarship
106,Business,Problem Solving,Statistics,63,Introvert,Start a business,Low,Entrepreneur,Graphic Design,STEM Scholarship
107,Design,Logical Thinking,Physics,70,Ambivert,Start a business,Medium,Entrepreneur,Business Management,Arts Talent Scholarship
108,Technology,Communication,Python,66,Ambivert,Develop new skills,Low,Data Analyst,Math Foundations,STEM Scholarship
109,Arts,Logical Thinking,Public Speaking,55,Ambivert,Higher studies,High,Entrepreneur,Math Foundations,Arts Talent Scholarship
110,Science,Problem Solving,Python,51,Extrovert,Start a business,Low,Mechanical Engineer,Graphic Design,National Merit Scholarship
111,Design,Problem Solving,Physics,83,Introvert,Get a good job,Low,Teacher,Python Basics,STEM Scholarship
112,Sports,Leadership,Python,54,Introvert,Start a business,Low,Entrepreneur,Data Science Intro,Arts Talent Scholarship
113,Business,Logical Thinking,Physics,93,Ambivert,Develop new skills,Medium,Data Analyst,Biology 101,STEM Scholarship
114,Technology,Logical Thinking,Python,82,Ambivert,Higher studies,High,Doctor,Graphic Design,Need-based Aid
115,Technology,Communication,Physics,76,Ambivert,Develop new skills,Medium,Entrepreneur,Math Foundations,National Merit Scholarship
116,Maths,Leadership,Drawing,50,Ambivert,Start a business,Low,Software Engineer,Math Foundations,STEM Scholarship
117,Design,Problem Solving,Physics,71,Ambivert,Get a good job,Medium,Data Analyst,Math Foundations,National Merit Scholarship
118,Science,Leadership,Physics,80,Introvert,Higher studies,High,Doctor,Graphic Design,Arts Talent Scholarship
119,Design,Leadership,Public Speaking,50,Ambivert,Get a good job,High,Designer,Biology 101,National Merit Scholarship
120,Design,Creativity,Public Speaking,61,Extrovert,Start a business,Medium,Data Analyst,Business Management,Arts Talent Scholarship
121,Design,Creativity,Java,80,Ambivert,Start a business,High,Entrepreneur,Graphic Design,STEM Scholarship
122,Medicine,Problem Solving,Statistics,76,Extrovert,Get a good job,High,Software Engineer,Graphic Design,STEM Scholarship
123,Science,Communication,Statistics,70,Introvert,Get a good job,Medium,Entrepreneur,Graphic Design,Need-based Aid
124,Sports,Problem Solving,Statistics,83,Introvert,Higher studies,Medium,Designer,Python Basics,National Merit Scholarship
125,Sports,Communication,Physics,75,Ambivert,Start a business,Medium,Entrepreneur,Business Management,Arts Talent Scholarship
126,Business,Leadership,Statistics,64,Extrovert,Start a business,High,Doctor,Biology 101,Arts Talent Scholarship
127,Design,Problem Solving,Physics,55,Ambivert,Develop new skills,Low,Data Analyst,Biology 101,Arts Talent Scholarship
128,Science,Creativity,Python,74,Extrovert,Develop new skills,Low,Entrepreneur,Graphic Design,Arts Talent Scholarship
129,Technology,Analysis,Java,92,Extrovert,Develop new skills,Low,Entrepreneur,Graphic Design,Arts Talent Scholarship
130,Science,Communication,Python,94,Introvert,Start a business,Low,Software Engineer,Data Science Intro,Arts Talent Scholarship
131,Business,Logical Thinking,Java,71,Introvert,Higher studies,Medium,Doctor,Data Science Intro,Need-based Aid
132,Maths,Leadership,Marketing,91,Extrovert,Higher studies,Medium,Doctor,Math Foundations,Need-based Aid
133,Arts,Leadership,Physics,92,Extrovert,Get a good job,High,Mechanical Engineer,Python Basics,STEM Scholarship
134,Arts,Logical Thinking,Biology,64,Introvert,Get a good job,Medium,Teacher,Graphic Design,Need-based Aid
135,Arts,Logical Thinking,Python,88,Ambivert,Higher studies,Medium,Mechanical Engineer,Math Foundations,Need-based Aid
136,Sports,Logical Thinking,Drawing,55,Introvert,Start a business,High,Mechanical Engineer,Math Foundations,Arts Talent Scholarship
137,Medicine,Communication,Marketing,88,Ambivert,Higher studies,Medium,Mechanical Engineer,Data Science Intro,National Merit Scholarship
138,Design,Communication,Python,74,Introvert,Higher studies,High,Software Engineer,Python Basics,Arts Talent Scholarship
139,Arts,Creativity,Java,75,Introvert,Get a good job,High,Designer,Data Science Intro,Need-based Aid
140,Arts,Logical Thinking,Drawing,79,Introvert,Start a business,Low,Software Engineer,Graphic Design,Arts Talent Scholarship
141,Arts,Communication,Statistics,56,Extrovert,Get a good job,High,Data Analyst,Data Science Intro,Arts Talent Scholarship
142,Sports,Leadership,Public Speaking,54,Extrovert,Get a good job,Medium,Data Analyst,Biology 101,National Merit Scholarship
143,Design,Analysis,Marketing,90,Extrovert,Get a good job,High,Designer,Python Basics,National Merit Scholarship
144,Maths,Analysis,Drawing,55,Extrovert,Start a business,High,Designer,Data Science Intro,Arts Talent Scholarship
145,Design,Logical Thinking,Public Speaking,64,Introvert,Get a good job,Low,Entrepreneur,Graphic Design,National Merit Scholarship
146,Arts,Logical Thinking,Public Speaking,72,Ambivert,Develop new skills,High,Mechanical Engineer,Biology 101,STEM Scholarship
147,Maths,Problem Solving,Physics,60,Ambivert,Get a good job,Medium,Software Engineer,Python Basics,Need-based Aid
148,Design,Problem Solving,Python,92,Introvert,Start a business,Low,Designer,Math Foundations,Need-based Aid
149,Technology,Logical Thinking,Statistics,86,Extrovert,Start a business,Medium,Designer,Business Management,Need-based Aid
150,Science,Creativity,Java,62,Extrovert,Start a business,Medium,Entrepreneur,Python Basics,Arts Talent Scholarship
151,Medicine,Communication,Statistics,87,Ambivert,Higher studies,Low,Doctor,Python Basics,Need-based Aid
152,Medicine,Logical Thinking,Java,63,Introvert,Get a good job,High,Teacher,Graphic Design,National Merit Scholarship
153,Arts,Creativity,Statistics,52,Ambivert,Start a business,High,Software Engineer,Business Management,Need-based Aid
154,Arts,Creativity,Public Speaking,91,Introvert,Higher studies,Medium,Doctor,Math Foundations,Arts Talent Scholarship
155,Arts,Logical Thinking,Biology,64,Introvert,Develop new skills,High,Entrepreneur,Biology 101,Need-based Aid
156,Science,Problem Solving,Physics,83,Introvert,Develop new skills,Medium,Designer,Graphic Design,Arts Talent Scholarship
157,Science,Communication,Biology,57,Extrovert,Develop new skills,Medium,Teacher,Math Foundations,STEM Scholarship
158,Technology,Analysis,Drawing,75,Ambivert,Develop new skills,High,Teacher,Python Basics,National Merit Scholarship
159,Maths,Leadership,Marketing,76,Extrovert,Get a good job,Low,Teacher,Graphic Design,STEM Scholarship
160,Sports,Analysis,Statistics,87,Ambivert,Develop new skills,Low,Doctor,Biology 101,Need-based Aid
161,Science,Logical Thinking,Java,54,Extrovert,Get a good job,High,Designer,Data Science Intro,Need-based Aid
162,Science,Communication,Drawing,92,Extrovert,Start a business,Medium,Entrepreneur,Data Science Intro,Arts Talent Scholarship
163,Business,Logical Thinking,Public Speaking,52,Ambivert,Develop new skills,High,Doctor,Data Science Intro,STEM Scholarship
164,Sports,Leadership,Python,67,Ambivert,Get a good job,Medium,Mechanical Engineer,Math Foundations,National Merit Scholarship
165,Medicine,Communication,Statistics,51,Extrovert,Start a business,Low,Data Analyst,Data Science Intro,STEM Scholarship
166,Technology,Analysis,Statistics,67,Ambivert,Develop new skills,High,Doctor,Math Foundations,National Merit Scholarship
167,Arts,Logical Thinking,Statistics,79,Introvert,Higher studies,High,Mechanical Engineer,Graphic Design,Arts Talent Scholarship
168,Sports,Communication,Python,78,Introvert,Higher studies,Low,Software Engineer,Data Science Intro,Need-based Aid
169,Technology,Problem Solving,Statistics,58,Introvert,Higher studies,High,Software Engineer,Biology 101,Arts Talent Scholarship
170,Sports,Creativity,Marketing,83,Extrovert,Start a business,Low,Designer,Data Science Intro,Need-based Aid
171,Maths,Logical Thinking,Biology,89,Introvert,Get a good job,High,Software Engineer,Graphic Design,STEM Scholarship
172,Arts,Communication,Biology,79,Ambivert,Develop new skills,Medium,Mechanical Engineer,Graphic Design,STEM Scholarship
173,Arts,Creativity,Python,72,Introvert,Start a business,High,Designer,Business Management,National Merit Scholarship
174,Business,Analysis,Python,60,Introvert,Start a business,Low,Mechanical Engineer,Data Science Intro,STEM Scholarship
175,Business,Leadership,Physics,61,Introvert,Get a good job,Medium,Teacher,Graphic Design,Arts Talent Scholarship
176,Maths,Communication,Java,84,Ambivert,Start a business,Low,Data Analyst,Graphic Design,Need-based Aid
177,Technology,Logical Thinking,Drawing,71,Extrovert,Get a good job,Medium,Data Analyst,Graphic Design,STEM Scholarship
178,Sports,Logical Thinking,Java,52,Introvert,Develop new skills,Medium,Teacher,Python Basics,National Merit Scholarship
179,Science,Logical Thinking,Biology,67,Ambivert,Higher studies,Low,Doctor,Graphic Design,Arts Talent Scholarship
180,Technology,Creativity,Public Speaking,78,Introvert,Higher studies,Low,Designer,Graphic Design,STEM Scholarship
181,Medicine,Creativity,Public Speaking,79,Ambivert,Start a business,High,Entrepreneur,Biology 101,Need-based Aid
182,Medicine,Communication,Statistics,69,Introvert,Higher studies,Low,Designer,Graphic Design,National Merit Scholarship
183,Science,Problem Solving,Marketing,85,Ambivert,Start a business,Low,Doctor,Biology 101,Need-based Aid
184,Medicine,Logical Thinking,Marketing,74,Introvert,Start a business,Low,Entrepreneur,Math Foundations,STEM Scholarship
185,Arts,Communication,Physics,55,Ambivert,Start a business,Low,Doctor,Data Science Intro,Arts Talent Scholarship
186,Arts,Leadership,Marketing,68,Ambivert,Start a business,Low,Entrepreneur,Python Basics,Arts Talent Scholarship
187,Technology,Creativity,Biology,80,Ambivert,Higher studies,Low,Data Analyst,Math Foundations,Need-based Aid
188,Medicine,Logical Thinking,Marketing,96,Introvert,Get a good job,Medium,Teacher,Python Basics,Need-based Aid
189,Design,Logical Thinking,Public Speaking,55,Ambivert,Get a good job,Medium,Data Analyst,Python Basics,STEM Scholarship
190,Business,Communication,Java,100,Introvert,Higher studies,High,Designer,Math Foundations,Arts Talent Scholarship
191,Maths,Analysis,Python,92,Introvert,Higher studies,Medium,Teacher,Biology 101,STEM Scholarship
192,Technology,Communication,Public Speaking,61,Ambivert,Start a business,High,Entrepreneur,Business Management,Need-based Aid
193,Maths,Logical Thinking,Marketing,91,Ambivert,Develop new skills,Medium,Teacher,Business Management,National Merit Scholarship
194,Maths,Creativity,Statistics,72,Ambivert,Higher studies,Low,Entrepreneur,Graphic Design,STEM Scholarship
195,Business,Problem Solving,Physics,100,Ambivert,Develop new skills,High,Doctor,Math Foundations,Arts Talent Scholarship
196,Arts,Logical Thinking,Python,54,Introvert,Get a good job,High,Teacher,Business Management,Arts Talent Scholarship
197,Medicine,Analysis,Statistics,89,Ambivert,Develop new skills,High,Mechanical Engineer,Python Basics,STEM Scholarship
198,Design,Logical Thinking,Drawing,99,Extrovert,Get a good job,Medium,Doctor,Math Foundations,Need-based Aid
199,Sports,Creativity,Statistics,99,Extrovert,Get a good job,Low,Doctor,Python Basics,Arts Talent Scholarship
200,Arts,Communication,Statistics,98,Introvert,Start a business,High,Entrepreneur,Data Science Intro,Arts Talent Scholarship
201,Medicine,Communication,Marketing,52,Extrovert,Get a good job,Low,Data Analyst,Biology 101,Need-based Aid
202,Maths,Communication,Java,82,Ambivert,Start a business,Medium,Entrepreneur,Python Basics,National Merit Scholarship
203,Medicine,Problem Solving,Marketing,100,Ambivert,Develop new skills,Medium,Software Engineer,Business Management,Need-based Aid
204,Sports,Communication,Marketing,80,Extrovert,Get a good job,High,Mechanical Engineer,Python Basics,STEM Scholarship
205,Design,Analysis,Statistics,72,Extrovert,Higher studies,Medium,Doctor,Business Management,Arts Talent Scholarship
206,Maths,Logical Thinking,Marketing,75,Extrovert,Higher studies,Low,Mechanical Engineer,Graphic Design,Need-based Aid
207,Medicine,Logical Thinking,Java,77,Introvert,Higher studies,High,Entrepreneur,Graphic Design,Arts Talent Scholarship
208,Arts,Problem Solving,Public Speaking,82,Ambivert,Higher studies,Low,Teacher,Business Management,STEM Scholarship
209,Arts,Leadership,Physics,53,Introvert,Get a good job,Medium,Software Engineer,Biology 101,Need-based Aid
210,Arts,Leadership,Statistics,100,Extrovert,Start a business,Low,Doctor,Graphic Design,STEM Scholarship
211,Sports,Problem Solving,Python,63,Ambivert,Higher studies,High,Mechanical Engineer,Math Foundations,Need-based Aid
212,Maths,Logical Thinking,Statistics,62,Extrovert,Start a business,Low,Teacher,Math Foundations,Arts Talent Scholarship
213,Maths,Creativity,Drawing,50,Extrovert,Get a good job,High,Data Analyst,Math Foundations,STEM Scholarship
214,Sports,Creativity,Java,82,Introvert,Get a good job,Low,Entrepreneur,Graphic Design,STEM Scholarship
215,Maths,Logical Thinking,Statistics,66,Introvert,Higher studies,High,Teacher,Python Basics,Need-based Aid
216,Business,Communication,Java,59,Introvert,Higher studies,High,Teacher,Math Foundations,National Merit Scholarship
217,Science,Communication,Java,76,Extrovert,Higher studies,Low,Entrepreneur,Python Basics,Arts Talent Scholarship
218,Business,Creativity,Public Speaking,88,Extrovert,Start a business,High,Teacher,Python Basics,STEM Scholarship
219,Medicine,Communication,Public Speaking,80,Ambivert,Get a good job,Medium,Designer,Business Management,Need-based Aid
220,Business,Creativity,Statistics,50,Introvert,Develop new skills,High,Teacher,Math Foundations,STEM Scholarship
221,Maths,Analysis,Public Speaking,85,Ambivert,Get a good job,Low,Mechanical Engineer,Math Foundations,National Merit Scholarship
222,Technology,Problem Solving,Public Speaking,71,Ambivert,Higher studies,High,Mechanical Engineer,Business Management,Arts Talent Scholarship
223,Maths,Analysis,Statistics,94,Introvert,Get a good job,Medium,Teacher,Graphic Design,STEM Scholarship
224,Business,Creativity,Public Speaking,50,Introvert,Get a good job,High,Mechanical Engineer,Biology 101,STEM Scholarship
225,Business,Communication,Python,51,Introvert,Get a good job,Low,Designer,Graphic Design,STEM Scholarship
226,Sports,Communication,Public Speaking,82,Extrovert,Develop new skills,Low,Data Analyst,Math Foundations,National Merit Scholarship
227,Science,Problem Solving,Marketing,86,Ambivert,Higher studies,High,Teacher,Math Foundations,Need-based Aid
228,Maths,Creativity,Marketing,60,Introvert,Higher studies,Low,Software Engineer,Business Management,Arts Talent Scholarship
229,Sports,Leadership,Public Speaking,88,Extrovert,Develop new skills,Low,Designer,Graphic Design,National Merit Scholarship
230,Maths,Logical Thinking,Public Speaking,64,Extrovert,Develop new skills,Low,Designer,Data Science Intro,Need-based Aid
231,Business,Leadership,Public Speaking,60,Extrovert,Get a good job,Medium,Software Engineer,Math Foundations,National Merit Scholarship
232,Arts,Analysis,Public Speaking,71,Extrovert,Develop new skills,Low,Doctor,Business Management,Need-based Aid
233,Design,Problem Solving,Marketing,68,Introvert,Higher studies,Low,Mechanical Engineer,Biology 101,National Merit Scholarship
234,Design,Creativity,Biology,62,Introvert,Start a business,Medium,Data Analyst,Python Basics,Need-based Aid
235,Business,Logical Thinking,Statistics,94,Introvert,Start a business,High,Designer,Python Basics,STEM Scholarship
236,Technology,Leadership,Drawing,59,Introvert,Get a good job,High,Teacher,Business Management,Need-based Aid
237,Technology,Analysis,Public Speaking,96,Introvert,Higher studies,Medium,Doctor,Business Management,National Merit Scholarship
238,Sports,Creativity,Python,71,Introvert,Start a business,Medium,Mechanical Engineer,Biology 101,STEM Scholarship
239,Medicine,Creativity,Physics,77,Introvert,Start a business,High,Entrepreneur,Python Basics,STEM Scholarship
240,Science,Analysis,Marketing,55,Introvert,Get a good job,High,Designer,Business Management,National Merit Scholarship
241,Arts,Creativity,Python,50,Introvert,Start a business,Low,Doctor,Graphic Design,Arts Talent Scholarship
242,Maths,Leadership,Biology,71,Ambivert,Start a business,Medium,Data Analyst,Python Basics,STEM Scholarship
243,Maths,Problem Solving,Biology,82,Extrovert,Develop new skills,Low,Entrepreneur,Biology 101,Need-based Aid
244,Science,Logical Thinking,Python,68,Ambivert,Higher studies,Medium,Mechanical Engineer,Graphic Design,Need-based Aid
245,Arts,Analysis,Statistics,90,Ambivert,Start a business,Medium,Doctor,Math Foundations,STEM Scholarship
246,Science,Communication,Python,59,Introvert,Start a business,Medium,Teacher,Data Science Intro,National Merit Scholarship
247,Science,Leadership,Public Speaking,63,Extrovert,Start a business,High,Teacher,Python Basics,Arts Talent Scholarship
248,Science,Problem Solving,Public Speaking,99,Introvert,Get a good job,Low,Mechanical Engineer,Data Science Intro,Arts Talent Scholarship
249,Medicine,Leadership,Drawing,67,Extrovert,Get a good job,Medium,Doctor,Graphic Design,STEM Scholarship
250,Business,Creativity,Biology,59,Ambivert,Develop new skills,Medium,Designer,Data Science Intro,Need-based Aid
